files_modified,files_renamed,files_deleted,cpu_usage,memory_usage,entropy_mean,entropy_max,extension_changes,write_frequency,read_write_ratio,suspicious_processes,network_out_bytes,network_connections,registry_modifications,shadow_copy_deleted,process_injection,honeypot_touched,unique_extensions,label,family
6,0,0,8.050436725499694,30.78639496397652,3.923358501979678,3.8501415651736,1,2.7938694656465053,1.8967587144907827,1,1991.9352062057587,4,3,0,0,0,2,0,Benign
5,1,3,10.141351400374031,13.873903298186526,3.277699798094594,4.000801418057797,1,1.5435585748375331,2.251499591850546,0,1398.0599635942797,0,3,0,0,0,3,0,Benign
7,1,2,44.10767598418537,45.75823672692188,3.699144765840425,4.074530730031731,0,1.3315250442284308,0.7245438685584907,1,2574.526472513752,3,0,0,0,0,4,0,Benign
4,0,0,30.484488857118127,46.69682273666421,2.5057629885662114,1.0882160562082692,1,0.5686341780429203,0.7617122377278165,1,1176.2164592646607,1,0,0,0,0,2,0,Benign
0,2,0,34.910135738545115,44.25806003070931,1.6559079849921283,3.8479865500918575,0,3.376129399010032,3.004210883735484,0,4725.8328201805425,0,0,0,0,0,5,0,Benign
12,11,16,42.91917034540549,59.685120653976014,6.740044706827943,7.0173063541652345,45,35.60403571005947,0.040909824904782684,2,6460.52436327843,23,50,1,0,1,13,1,SlowBurn
2,1,0,22.36612248583821,56.8868734947711,1.1720709531881046,4.906340328795215,0,1.7041313977792956,2.485886860198121,0,2982.6316385402156,5,2,0,0,0,5,0,Benign
9,8,11,44.853708337976,61.56093192552141,6.699326363092181,7.506012743447802,30,30.137542556313548,0.12284364532129892,2,60379.13470117262,17,41,0,1,1,7,1,SlowBurn
8,1,3,4.780618385574538,23.20551950895379,1.8289463809874378,1.9770177286768857,0,2.129372191413619,3.609614690091696,0,3202.160956338403,4,1,0,0,0,5,0,Benign
5,19,13,43.06752972274751,56.27831073519293,6.531074374246087,7.791747725504422,75,37.64702241794592,0.1418479439070474,7,46957.76390356327,13,40,1,0,1,2,1,SlowBurn
8,0,1,14.535095908807197,51.43249549813003,4.294194869443503,4.702879829478068,1,2.139878449431596,1.17331737437905,1,1796.1083680689987,1,0,0,0,0,2,0,Benign
74,52,13,40.25674457504995,45.812222609612725,7.951021041332293,7.640914475899021,74,38.36972408237041,0.1841004117748871,3,309017.96640482906,8,8,1,0,0,13,1,Polymorphic
3,0,3,19.786724458352122,55.48068984414561,3.885109489891677,4.107896259127754,1,3.6264894601471784,1.400896474927309,0,1417.9513696927554,2,1,0,0,0,2,0,Benign
5,2,2,26.58050810061636,10.479134385657781,3.9735848378476026,5.115581559944172,1,3.9738891050305147,2.4082256082386335,1,4346.483687497026,0,2,0,0,0,3,0,Benign
6,2,2,42.008210206687444,45.2049842198725,3.719914418938174,3.346995035813454,1,3.6708714420794624,1.5849634500798568,0,4319.512243892487,3,1,0,0,0,4,0,Benign
16,19,5,41.05917645937174,57.350228272920496,7.110104156978095,7.452430779758207,14,34.10049862273223,0.0714653630600485,2,327793.6809892783,29,13,0,0,0,9,1,SlowBurn
131,127,2,92.31722114470057,44.8250805808194,7.931378269618196,7.912587266339631,17,37.08519226500809,0.3798587085111006,7,279160.344209588,30,21,1,1,1,4,1,LockBit
8,2,1,35.805854775523166,39.88435149717504,2.34152350170391,1.4520979517882528,0,3.9944383604520017,1.0907429070819783,1,117.89475278298434,2,1,0,0,0,1,0,Benign
4,2,0,36.75968167760312,55.14594866165269,1.0544842534699588,3.0524404977637265,1,2.007134390280835,1.931311963030943,1,4571.478174263136,4,2,0,0,0,1,0,Benign
13,3,20,39.48337070491344,85.19130645209785,7.076796672480946,7.304238714609709,32,52.122882723626745,0.1305767937843721,5,362447.3119492738,8,43,1,1,1,4,1,SlowBurn
0,1,2,42.74902108248683,33.59545549572938,1.6251138002924432,3.9436551650857252,1,3.987676000283176,2.0754257735490995,1,1401.7091969111389,3,1,0,0,0,5,0,Benign
39,51,10,68.78832066396795,67.29816840899956,7.266728657517909,7.829709910423777,46,49.389472446001506,0.11580024684670907,3,491880.7851182813,4,40,1,0,0,3,1,Polymorphic
211,215,15,91.93385443057028,82.86357823805281,7.851531069773511,7.916698157092253,71,27.677003601347586,0.40138567788380264,4,347398.156289428,22,34,1,1,1,3,1,LockBit
4,0,0,2.9609119023548653,19.082161827885805,1.9012874884248894,2.9358727957056954,0,3.689766375567736,4.491615685528186,0,1745.497685452745,5,2,0,0,0,2,0,Benign
157,186,9,77.46529324106079,76.90663713728443,7.709759125435684,7.650616789557248,24,12.506376729640387,0.38946755658690846,8,192914.18357367328,5,7,1,0,0,11,1,WannaCry
7,1,2,19.471890369359908,38.34752378194051,4.326702148317963,2.118473010765082,1,0.9830078838847505,4.600619194300381,1,3253.489931402312,5,1,0,0,0,1,0,Benign
7,0,3,7.216102296302036,15.307232641069593,3.72206651473225,3.027917107454161,0,1.946813903705055,2.75011408653213,1,1280.1460591871817,4,1,0,0,0,2,0,Benign
8,2,3,5.940442822556298,25.234817004314472,4.070461336356127,1.8349543003507882,1,2.5060355212677066,4.312853888582396,0,45.25820877931519,0,1,0,0,0,2,0,Benign
1,2,3,34.57173996382512,23.818967265794974,3.2264263606732366,4.787342794212033,0,1.392947723864101,3.0415180771988264,0,1949.2125944395157,2,3,0,0,0,5,0,Benign
5,16,18,41.82731954345421,78.36946324024818,7.014518896226961,7.705187674914669,45,45.20191581242587,0.21407053589827438,6,239002.9665477555,22,24,1,0,1,13,1,SlowBurn
2,0,3,4.822003799436836,53.00083764547727,1.7086806134333634,4.473384089502298,0,0.6313656434916823,3.736440894906664,0,1393.1007378880522,3,1,0,0,0,4,0,Benign
76,79,0,74.27672100616013,65.71625083843608,7.417130696810275,7.323182561069766,71,36.8056798055146,0.44510876842417046,6,435388.6163788089,6,7,1,1,1,11,1,Ryuk
6,9,15,56.79135976555035,62.42804029811681,5.793456698388264,6.057499344977228,45,45.63309980741336,0.4122454830043759,3,358469.26338688604,7,38,1,0,1,1,1,Fileless
8,0,3,7.127757210303063,31.21186226476367,0.9980618753344817,1.116371725923687,1,2.945504270857192,3.4005285107131247,0,2437.6460673445104,3,1,0,0,0,2,0,Benign
2,8,16,66.68917312331426,64.629545413437,5.707625424437209,7.5920349078869425,34,27.88220319549694,0.12971544191008483,6,476839.5255562997,9,40,1,1,1,8,1,Fileless
0,0,2,18.753918746394447,48.50558261151427,2.876050803632336,3.3093709961273285,0,0.1279940747277939,4.347130781662526,0,540.5682877970419,5,2,0,0,0,5,0,Benign
174,117,16,73.88640949969879,54.9178019891132,7.77645712513891,7.833621464270072,71,51.83341598479835,0.09424845773675573,8,217608.13487610692,2,47,0,0,0,5,1,WannaCry
7,1,2,26.19911304446586,27.706531817384764,3.7324226581810915,3.731769560759848,0,3.1133896304709006,4.15621011924183,1,1218.3102337992525,5,0,0,0,0,4,0,Benign
167,174,14,97.44353336730302,57.01460260309544,7.950108021344057,7.9069290724933685,72,56.510603735366985,0.017479934157138548,3,126424.66898332708,17,11,1,1,1,12,1,LockBit
7,2,3,4.3629985163509435,15.736798063045734,3.6370535091811225,1.3886847078525753,1,2.0483878298205354,3.404759998273396,1,2602.6148643143506,0,1,0,0,0,3,0,Benign
3,0,2,36.52598317909388,28.09036840177451,1.3367383711069212,3.582929891688006,1,1.9849527168677579,1.5030871224327074,0,2035.3239132763201,4,1,0,0,0,4,0,Benign
8,1,2,13.42709417602644,14.944541999115849,4.018086370344349,2.2075663026184733,0,2.273360153304164,4.226529649968759,1,4782.655664825636,3,3,0,0,0,4,0,Benign
4,1,18,85.83460252030639,85.11890263263754,6.272681326910348,6.663709520667202,16,12.593159162733205,0.19506348693475292,5,340769.2505503049,24,19,1,1,1,1,1,Fileless
46,67,8,73.28065230358018,82.10956166438913,7.582166736638161,7.138244303073605,62,34.15042640628779,0.15008428449913913,6,328617.0236749926,28,22,0,1,1,3,1,Cerber
43,40,12,65.90027529845156,89.60945833526816,7.569351496466791,7.744193149834102,46,16.296494880127234,0.3230046385527306,6,91650.86879417741,12,47,1,1,1,4,1,Cerber
15,2,2,46.61310443497588,69.4234199696555,6.79722562179533,7.21294911855193,26,57.37764113548011,0.39690754633918895,8,292862.5359917543,11,47,0,0,0,15,1,SlowBurn
1,0,16,54.10339191192858,84.09047861314244,5.745746458728626,7.160841361027286,24,44.15498899165116,0.4867272739827544,8,192343.9109586406,20,29,1,0,1,4,1,Fileless
8,0,2,4.198660438587979,39.553103902449465,3.6987152130992564,1.1590347007437658,1,2.6279287836933087,2.845360073018031,1,2746.483148741475,3,2,0,0,0,2,0,Benign
8,2,1,22.228586649519375,39.47216103021245,3.779601719937833,2.361349416312399,1,0.0035269076324828674,1.3831197754792706,0,1105.4478881680575,4,1,0,0,0,3,0,Benign
3,2,1,14.419665486543174,45.30204919790842,0.8099840866469687,3.4579562476455084,1,2.0042080009418535,4.1200426549788025,0,79.8175213516733,3,1,0,0,0,1,0,Benign
10,6,10,74.3739612860068,73.48416033163164,6.009210645807309,5.9999012122160575,51,16.724712277776803,0.16744989944560523,3,311863.42054068396,28,49,0,1,0,4,1,Fileless
56,35,11,82.57295260444788,73.4775933375171,7.092438440899457,7.70156935199251,72,47.69933775562491,0.044977386544893604,4,24081.94351821915,13,46,1,1,1,6,1,Cerber
72,57,16,81.8483573523837,76.85498785195216,7.08987902173883,7.858366613314231,36,42.22793909700098,0.20246124308797778,2,45885.62344848556,9,43,1,0,1,6,1,Cerber
43,71,10,82.40350475478944,61.58840970842857,7.006797225668227,7.718651646930175,12,31.536725320774288,0.3554852063426812,3,282799.9832672102,8,17,0,1,1,7,1,Cerber
5,1,1,12.907786742232949,59.496074563747,0.7877326059254632,3.4957963410787523,1,2.437568372345312,4.5169022290869885,1,397.85242628791906,2,3,0,0,0,3,0,Benign
123,170,0,82.78193472280441,94.66786678543608,7.982989190534176,7.75026730949433,80,11.423830401227482,0.43618975922957826,2,29491.206677159418,14,5,1,0,1,10,1,WannaCry
6,2,2,43.0382798094984,21.66511437791457,3.876187861471457,4.775194331031997,1,0.1112639823909336,1.1093423704425254,0,2562.110997534319,3,3,0,0,0,4,0,Benign
5,20,15,50.49675427930261,42.47754894605599,7.423994411331088,7.812082022104665,26,12.596313049637871,0.3855811830687315,4,40195.19137466487,7,24,1,0,1,10,1,SlowBurn
69,40,20,90.64632501011636,83.33937009158498,7.629775015956011,7.433860467471752,36,49.50382292178472,0.3872042334976585,7,450953.0677828332,29,18,1,1,1,9,1,Ryuk
8,2,3,8.13974855600128,13.828432091005812,4.302497877081267,4.52545961124957,1,2.477729000124952,1.0150737616611565,1,1794.6645161876622,1,0,0,0,0,2,0,Benign
5,1,3,33.078767412106956,41.534359415615825,4.220957964172214,5.39575376792673,1,1.2400554006039122,3.7608219132069705,0,2334.7337834166156,2,3,0,0,0,5,0,Benign
67,73,18,84.64510271724932,84.99502663669534,7.405966204030254,7.962687682200853,14,58.57872750877469,0.47813014725011305,4,253542.89318815037,24,43,1,1,0,13,1,Cerber
1,7,5,68.89123793118632,93.17819968665216,6.818376822335547,5.840062638962909,57,39.51302983179168,0.16861649693195993,3,385662.99550328514,23,18,1,0,1,1,1,Fileless
1,1,2,32.82399988955781,42.0743735402794,4.417199989669621,4.889236421533188,1,2.4241917970960665,3.758318466480989,1,2949.1561988894723,4,0,0,0,0,2,0,Benign
161,126,12,80.93829564608791,65.17995397414364,7.710316106906672,7.9427925302886,21,34.72023486561767,0.06444842863574735,3,272757.4356356874,28,14,1,1,1,5,1,WannaCry
68,115,3,60.07424847006303,46.89833019520117,7.214218429292566,7.77865744821808,43,10.79946409520294,0.34628202530775964,6,307162.49165503395,23,39,0,1,0,6,1,Ryuk
2,0,1,22.639271817746643,25.98347356172949,2.0411397041359307,1.1569502472137856,1,1.2448534872147379,2.546150302135298,0,1195.7771276602236,3,1,0,0,0,1,0,Benign
1,2,2,36.323510808284574,30.665628070055515,0.7728249389709019,3.0175754816838753,0,2.3061204183822475,4.04550081849053,1,283.4379947684446,3,3,0,0,0,4,0,Benign
10,9,10,50.62892428252169,47.38176621107962,5.917665667139738,6.708230647910704,59,37.19033860989359,0.4833505366268731,8,478460.32829475263,8,12,0,0,1,15,1,Fileless
0,0,3,23.553007247171543,26.463786461122883,3.1706772590848002,3.7646242466883013,1,0.018454143939682588,0.7628393214075541,0,2639.0052573287517,5,3,0,0,0,1,0,Benign
82,98,9,74.92964023079459,93.24009704994253,7.685320231868835,7.732617346586236,12,37.97830203679774,0.0706351384575724,5,498019.8883280523,18,19,1,1,1,15,1,Cerber
2,0,1,39.62401352083706,20.394293595968772,1.2856563472588043,4.053273520720349,1,0.4741197770765626,3.1070925726790843,1,3424.6211407446376,2,2,0,0,0,3,0,Benign
1,1,2,20.30774944200312,17.94188476910078,1.3790050575362693,3.863016403442335,1,1.9130922105922328,3.977545126421573,0,2868.293431612483,5,1,0,0,0,5,0,Benign
0,2,1,8.378584770947661,33.82940894598173,2.685192279515523,3.9441450734453274,1,0.17010656784878764,2.5357166579351422,0,663.3960585925597,5,2,0,0,0,2,0,Benign
71,44,4,75.66136123996185,69.51039807656034,7.597416400785873,7.1728793605488015,25,12.680804920305135,0.029834574602828248,6,311938.1134302263,29,40,0,1,1,15,1,Cerber
7,2,3,16.639379908375048,24.103381227213834,3.3024869206387777,2.522468216297349,0,3.541008901855388,4.516232438351934,0,1541.8347752501604,0,0,0,0,0,3,0,Benign
15,15,10,44.133958597292576,41.951791598862,6.929755531594931,7.67855537916117,65,15.717890078554717,0.027676643161270102,8,117682.64470632211,6,19,0,0,1,9,1,SlowBurn
106,285,3,99.94747453696012,83.18575735670981,7.946573477218636,7.982792571821735,51,43.21933926013165,0.36611330155478244,4,303851.00418289984,23,16,1,0,1,8,1,LockBit
4,1,1,42.38663785536189,23.964374789708284,1.8922091479637366,4.6334889486754465,1,2.921827741571437,2.8809744896847174,1,3444.01211171971,0,2,0,0,0,5,0,Benign
5,1,2,7.914740793431006,31.79198194672764,1.9289416664671282,5.083669031286174,0,2.114393648667864,0.9624224094878201,0,883.9545254265773,0,3,0,0,0,3,0,Benign
2,2,1,24.348926916802494,17.092491095962107,2.392403445960363,4.441856720972686,0,3.8194411720763872,3.281413635667989,1,2635.63579864671,0,1,0,0,0,5,0,Benign
5,0,0,7.93759723388639,14.404642535594334,1.7610049721056202,3.9766242502223212,1,2.6708920127116533,4.29233939654981,1,3380.232924522893,4,3,0,0,0,4,0,Benign
10,6,14,56.569012266590576,76.89921997524252,6.569457910404601,6.302018224128813,14,22.354570195100138,0.1334399881479807,4,445195.6217088771,21,43,0,0,1,6,1,Fileless
8,0,0,20.622272411232082,28.89940581049808,4.359458397621198,5.0424779616573385,0,0.1874430231168147,4.754139345904259,1,4498.792031608891,5,3,0,0,0,2,0,Benign
257,243,2,93.7842193983843,41.40431047357859,7.8807365860020955,7.964728147754742,64,23.267943137297735,0.10895858527104867,7,90132.17000533716,26,17,1,1,1,6,1,LockBit
7,2,3,12.627238011302612,45.508580370150064,4.474520567701491,2.235541047509409,0,0.6011182585172725,2.7306710860211054,0,87.1273095445002,2,3,0,0,0,5,0,Benign
6,2,0,32.5255036354025,10.802941134005685,2.8472398905413243,1.8571007057403257,1,2.629946327681475,4.916579501656021,1,3979.6920841400906,3,1,0,0,0,3,0,Benign
258,215,12,85.52551214597966,79.97402541511585,7.901988491840017,7.98857027876033,6,42.287280723574995,0.2905275885392198,4,192858.40577475083,16,26,0,1,1,8,1,LockBit
16,20,12,57.62743658673645,77.83101357987331,6.546071008562414,6.857965533030378,44,41.91149084055619,0.13407210211350015,4,182820.77310364475,15,42,0,1,1,11,1,SlowBurn
34,40,8,79.34521500087871,60.59548134635533,7.800047025064902,7.429715291231947,57,49.27174808236319,0.1914587356261072,7,60085.33010986195,19,49,1,1,0,1,1,Polymorphic
7,1,2,20.688129116291897,51.690465443643085,2.7742886125608566,2.3017018277621464,1,2.0786198232025805,0.836914826177513,1,452.7805605534907,2,2,0,0,0,4,0,Benign
133,93,6,72.1627090959466,60.08603767268099,7.682628374286312,7.76740589116667,61,36.2499473708337,0.22992887181085914,2,433710.4471888605,8,17,1,0,1,7,1,Ryuk
4,0,2,6.807415963059298,56.10601948988185,2.068108224315908,3.0234620099923406,0,0.07430238306048675,4.408268526305884,1,904.2405336141745,2,1,0,0,0,4,0,Benign
10,3,4,56.2203181619062,47.80254036623677,6.444459081664302,7.425685137587906,80,12.78902135494899,0.3894620068622806,7,156736.02896187917,9,38,1,1,0,12,1,Fileless
5,2,2,27.866585774327365,10.201263942698537,0.5100870468112801,3.9012651385340282,1,0.23720573284933177,2.9558033877678893,0,3247.5751549287997,5,1,0,0,0,1,0,Benign
93,54,1,79.43733186519884,56.661561067006744,7.293370821224922,7.2429396148072,58,10.702792733435963,0.39826107454103626,2,27737.584070651385,8,45,1,1,1,9,1,Cerber
77,80,8,70.85864361973961,66.20437275720832,7.548576006332084,7.7634473244596975,21,30.73344643506302,0.3387980385315835,4,147713.1857208637,18,48,1,0,1,9,1,Ryuk
8,2,1,41.797760830816486,56.015013528637404,3.059585744333008,3.123012380106831,0,1.4922485874337559,2.671573791545491,0,1086.8401210932504,0,3,0,0,0,2,0,Benign
16,3,7,54.72028526356773,48.50412991272704,6.603192913767698,7.396264524162926,70,37.25265176430091,0.05131180762283963,6,333919.77054298396,19,23,1,1,1,9,1,SlowBurn
129,54,12,73.91480743099983,47.93151130597315,7.238633552654274,7.636142483898112,74,39.00246893141323,0.4177991877871923,8,413117.28300199023,12,13,0,0,1,11,1,Ryuk
184,163,16,79.19133107103423,43.75256190389303,7.5706286103230465,7.924714495164965,9,59.93956860946268,0.10966086084610326,8,339327.3416392083,5,46,1,0,1,13,1,WannaCry
5,0,2,21.563293647899474,46.45188119100942,1.1684994460751974,2.3923049519261594,0,2.263985408796976,4.361845161696378,0,992.6740667520539,1,3,0,0,0,5,0,Benign
1,1,1,24.144131857878826,19.013576800918806,3.9014324209581464,3.213588315991903,0,3.7577710595965224,4.7759354289466165,1,821.1393533783995,0,2,0,0,0,4,0,Benign
2,0,1,9.645328558305696,12.340697861711377,3.407865377844159,4.365208950332349,0,1.1088167426277713,2.4784043081067324,1,1130.96786833616,1,1,0,0,0,2,0,Benign
131,158,16,96.11369882227373,84.98626120325747,7.8991382460646316,7.90469703716509,31,23.884012740102097,0.2810886793011155,6,334034.18295436376,12,47,0,1,1,6,1,LockBit
123,294,20,93.10513465300411,56.92001145126192,7.947380469941516,7.985758524162655,57,37.720476223196826,0.4751582376420678,3,21169.729328156864,11,46,1,1,1,11,1,LockBit
7,1,2,43.458269222218995,13.328597365121755,1.0467532788955318,2.573011506299628,0,0.06139349905048608,3.3696673586503954,0,4179.9862092246785,3,0,0,0,0,1,0,Benign
5,7,11,39.76180687846636,73.79961936822036,6.730426010733909,7.130326048954013,58,30.947594681646127,0.43386612222332277,3,436741.0345005726,11,15,1,0,1,13,1,SlowBurn
117,109,3,98.48286916491251,75.58242706900168,7.55851129331423,7.6298863640909325,34,15.722236805611718,0.17659936820638147,2,331336.3803443385,23,43,1,1,0,11,1,WannaCry
99,141,7,64.55877577031659,71.04433762770171,7.852506657110372,7.4104835363514585,59,49.05192436629544,0.4285391771802791,7,245146.6406706488,13,36,0,1,1,2,1,Ryuk
187,58,10,99.49609402776747,90.7473256318672,7.991748951387255,7.989912828069399,79,31.88707658748012,0.040436140334196014,7,183888.78758982097,21,50,1,1,1,9,1,WannaCry
6,1,2,19.6092946519847,56.80734932992651,1.4207251154850309,3.4865638835588064,1,1.8565247511906242,0.8784034330401256,1,3848.9424954869896,1,2,0,0,0,2,0,Benign
